	Country	Year	Obesity(%)	Sex
0	Afghanistan	1975	0.5 [0.2-1.1]	Both sexes
1	Afghanistan	1975	0.2 [0.0-0.6]	Male
2	Afghanistan	1975	0.8 [0.2-2.0]	Female
3	Afghanistan	1976	0.5 [0.2-1.1]	Both sexes
4	Afghanistan	1976	0.2 [0.0-0.7]	Male
5	Afghanistan	1976	0.8 [0.2-2.0]	Female
6	Afghanistan	1977	0.6 [0.2-1.2]	Both sexes
7	Afghanistan	1977	0.2 [0.0-0.7]	Male
8	Afghanistan	1977	0.9 [0.3-2.1]	Female
9	Afghanistan	1978	0.6 [0.2-1.3]	Both sexes
10	Afghanistan	1978	0.2 [0.1-0.7]	Male
11	Afghanistan	1978	0.9 [0.3-2.2]	Female
12	Afghanistan	1979	0.6 [0.3-1.3]	Both sexes
13	Afghanistan	1979	0.3 [0.1-0.8]	Male
14	Afghanistan	1979	1.0 [0.3-2.3]	Female
15	Afghanistan	1980	0.7 [0.3-1.4]	Both sexes
16	Afghanistan	1980	0.3 [0.1-0.8]	Male
17	Afghanistan	1980	1.1 [0.4-2.4]	Female
18	Afghanistan	1981	0.7 [0.3-1.4]	Both sexes
19	Afghanistan	1981	0.3 [0.1-0.8]	Male
20	Afghanistan	1981	1.1 [0.4-2.5]	Female
21	Afghanistan	1982	0.8 [0.4-1.5]	Both sexes
22	Afghanistan	1982	0.3 [0.1-0.9]	Male
23	Afghanistan	1982	1.2 [0.4-2.6]	Female
24	Afghanistan	1983	0.8 [0.4-1.6]	Both sexes
25	Afghanistan	1983	0.4 [0.1-0.9]	Male
26	Afghanistan	1983	1.3 [0.5-2.7]	Female
27	Afghanistan	1984	0.9 [0.4-1.7]	Both sexes
28	Afghanistan	1984	0.4 [0.1-1.0]	Male
29	Afghanistan	1984	1.4 [0.5-2.9]	Female
30	Afghanistan	1985	1.0 [0.5-1.8]	Both sexes
31	Afghanistan	1985	0.4 [0.1-1.0]	Male
32	Afghanistan	1985	1.5 [0.6-3.0]	Female
33	Afghanistan	1986	1.0 [0.5-1.9]	Both sexes
34	Afghanistan	1986	0.4 [0.1-1.1]	Male
35	Afghanistan	1986	1.5 [0.6-3.1]	Female
36	Afghanistan	1987	1.1 [0.5-2.0]	Both sexes
37	Afghanistan	1987	0.5 [0.1-1.2]	Male
38	Afghanistan	1987	1.6 [0.7-3.2]	Female
39	Afghanistan	1988	1.2 [0.6-2.1]	Both sexes
40	Afghanistan	1988	0.5 [0.2-1.2]	Male
41	Afghanistan	1988	1.7 [0.7-3.4]	Female
42	Afghanistan	1989	1.2 [0.6-2.2]	Both sexes
43	Afghanistan	1989	0.6 [0.2-1.3]	Male
44	Afghanistan	1989	1.8 [0.8-3.5]	Female
